Period,realgdp,pop,unemp,infl
1991-07-01,8037.538,254.435,6.9,2.93
1991-10-01,8069.046,255.214,7.1,3.19
1992-01-01,8157.616,255.992,7.4,3.17
1992-04-01,8244.294,256.894,7.6,3.14
1992-07-01,8329.361,257.861,7.6,3.4
1992-10-01,8417.016,258.679,7.4,3.09
1993-01-01,8432.485,259.414,7.2,2.79
1993-04-01,8486.435,260.255,7.1,1.94
1993-07-01,8531.108,261.163,6.8,3.03
1993-10-01,8643.769,261.919,6.6,1.92
1994-01-01,8727.919,262.631,6.6,2.45
1994-04-01,8847.303,263.436,6.2,3.25
1994-07-01,8904.289,264.301,6.0,2.69
1994-10-01,9003.18,265.044,5.6,2.93
1995-01-01,9025.267,265.755,5.5,3.44
1995-04-01,9044.668,266.557,5.7,2.1
1995-07-01,9120.684,267.456,5.7,2.35
1995-10-01,9184.275,268.151,5.6,3.11
1996-01-01,9247.188,268.853,5.5,3.6
1996-04-01,9407.052,269.667,5.5,2.3
1996-07-01,9488.879,270.581,5.3,3.05
1996-10-01,9592.458,271.36,15.899999999999999,3.02
1997-01-01,9666.235,272.083,5.2,1.25
1997-04-01,9809.551,272.912,5.0,1.25
1997-07-01,9932.672,273.852,4.9,2.73
1997-10-01,10008.874,274.626,4.7,1.24
1998-01-01,10103.425,275.304,4.6,0.49
1998-04-01,10194.277,276.115,4.4,2.46
1998-07-01,10328.787,277.003,4.5,1.71
1998-10-01,10507.575,277.79,4.4,1.95
1999-01-01,10601.179,278.451,4.3,2.9
1999-04-01,10684.049,279.295,4.3,1.92
1999-07-01,10819.914,280.203,4.2,3.35
1999-10-01,11014.254,280.976,4.1,2.85
2000-01-01,11043.044,281.653,,3.76
2000-04-01,11258.454,282.385,3.9,4.19
2000-07-01,11267.867,283.19,4.0,2.77
2000-10-01,11334.544,283.9,3.9,3.89
2001-01-01,11297.171,284.55,4.2,1.82
2001-04-01,11371.251,285.267,4.4,2.26
2001-07-01,11340.075,286.047,4.8,0.45
2001-10-01,11380.128,286.728,5.5,0.23
2002-01-01,11477.868,287.328,5.7,3.59
2002-04-01,11538.77,288.028,5.8,1.56
2002-07-01,11596.43,288.783,5.7,2.66
2002-10-01,11598.824,289.421,5.8,3.08
2003-01-01,11645.819,290.019,5.9,1.31
2003-04-01,11738.706,290.704,6.2,1.09
2003-07-01,11935.461,291.449,6.1,2.6
2003-10-01,12042.817,292.057,5.8,3.02
2004-01-01,12127.623,292.635,5.7,2.35
2004-04-01,12213.818,293.31,5.6,3.61
2004-07-01,12303.533,294.066,5.4,3.58
2004-10-01,12410.282,294.741,5.4,2.09
2005-01-01,12534.113,295.308,5.3,4.15
2005-04-01,12587.535,295.994,5.1,1.85
2005-07-01,12683.153,296.77,5.0,9.14
2005-10-01,12748.699,297.435,4.9,0.4
2006-01-01,12915.938,298.061,4.7,2.6
2006-04-01,12962.462,298.766,4.7,3.97
2006-07-01,12965.916,299.593,4.7,-1.58
2006-10-01,13060.679,300.32,4.4,3.3
2007-01-01,13099.901,300.977,4.5,4.58
2007-04-01,13203.977,301.714,4.5,2.75
2007-07-01,13321.109,302.509,4.7,3.45
2007-10-01,13391.249,303.204,4.8,6.38
2008-01-01,13366.865,303.803,4.9,2.82
2008-04-01,13415.266,304.483,5.4,8.53
2008-07-01,13324.6,305.27,6.0,-3.16
2008-10-01,13141.92,305.952,6.9,-8.79
2009-01-01,12925.41,306.547,8.1,0.94
2009-04-01,12901.504,307.226,9.2,3.37
2009-07-01,12990.341,308.013,9.6,3.56
